,reward per episode
389,-4540.814279818186
390,-5465.103986963509
391,-4506.867205836542
392,-4774.920432584253
393,-4833.560913548545
394,-4528.230770726255
395,-4463.089273074732
396,-4418.992329658649
397,-7230.333930248147
398,-4952.462230124146
399,-4741.5931331083775
400,-5068.527043777117
401,-4560.84867229972
402,-7422.098532642066
403,-4394.212765199976
404,-4394.289547553703
405,-8283.080977076452
406,-6079.345792042592
407,-4105.361247709148
408,-4635.409998058565
409,-5425.9028106931655
410,-4414.844790211946
411,-4540.835340770814
412,-4783.669804082466
413,-4699.403971293046
414,-5149.37298937353
415,-4775.356811484062
416,-5038.150738632479
417,-5288.140522475599
418,-5052.497716257693
419,-7390.70536219644
420,-4179.568196670952
421,-4481.455860257575
422,-4841.537252379064
423,-4751.303229825948
424,-4477.750887477746
425,-4529.802579044479
426,-5079.270248956789
427,-4504.968966434751
428,-4315.970093063226
429,-5112.006545361375
430,-5810.58621290612
431,-5175.186604561255
432,-4475.070789937205
433,-6914.78725313137
434,-6050.152515124764
435,-5841.3916341441645
436,-5572.844369461447
437,-7092.69267255869
438,-5932.788875401509
439,-4533.715054638437
440,-6470.971863527504
441,-7153.765466390992
442,-5358.93901069891
443,-5520.505965207597
444,-4484.824375319195
445,-6216.525469710259
446,-7179.651481417093
447,-5309.248053605506
448,-4161.456056353867
449,-4437.630906791049
450,-4617.998328345572
451,-4064.944937315727
452,-4157.070775171436
453,-5762.256321976411
454,-5546.586476205511
455,-4444.9018165255
456,-4058.6012435919292
457,-4780.310586670686
458,-7649.168368773704
459,-6464.636101337629
460,-4766.002856029357
461,-4827.919462089112
462,-4907.48918611461
463,-4857.7117220776345
464,-4305.146195938422
465,-4074.17698924299
466,-5819.912908556229
467,-4419.079088871343
468,-4747.284008328036
469,-5523.847924074847
470,-4907.178521926343
471,-6731.140315829866
472,-4510.291790763112
473,-4951.242437266342
474,-4949.243245583635
475,-4486.047719199336
476,-4469.600206593582
477,-5047.764936364485
478,-5144.8213269822745
479,-4789.942615230362
480,-4459.541831213613
481,-4540.17410762327
482,-6419.117304821815
483,-4388.025926115161
484,-4404.56762255251
485,-4584.244653363431
486,-4665.18313935472
487,-4327.502160013394
488,-6062.815874179668
489,-5709.408509363819
490,-4306.747948984352
491,-6519.147375288566
492,-5380.651977248005
493,-5316.023706277002
494,-4665.856465532889
495,-4451.605671492862
496,-4601.15573727281
497,-5027.38871621312
498,-4646.338787536698
499,-5008.353289339578
500,-5156.706452700467
501,-4093.3460753832132
502,-4617.978365574646
503,-4287.437110638009
504,-5960.92405773565
505,-4741.13324211165
506,-7016.633104281474
507,-4195.467206037638
508,-7374.056577280657
509,-5379.205315697572
510,-5038.866799269849
511,-4492.394746426
512,-5534.593004712689
513,-4332.215620813918
514,-5449.785600012449
515,-4438.465491084701
516,-4629.114385037841
517,-4685.860429883554
518,-4463.411853770242
519,-7441.649436215875
520,-7866.513577087318
521,-4309.32768210844
522,-4986.776081065676
523,-4366.239658037301
524,-5474.932498680023
525,-4758.27893211051
526,-4764.605137669006
527,-5108.179902088542
528,-6430.963334692859
529,-5267.647969825536
530,-4614.165708690802
531,-4284.625517482682
532,-5079.1686343281435
533,-5616.859623226053
534,-4269.241415559046
535,-4444.0563837774625
536,-6085.228192158839
537,-8380.574841594525
538,-5102.994529089667
539,-4325.5357221739105
540,-4780.430860801642
541,-4639.12553550183
542,-5365.83500391927
543,-7907.4364987367935
544,-4447.694356927829
545,-5657.313892708075
546,-4484.19376319559
547,-4672.375481980417
548,-4608.925612289545
549,-7126.487430980239
550,-5944.459253268408
551,-5712.117683518086
552,-6979.989554118027
553,-4934.856725538556
554,-4518.020635166015
555,-4612.338250565431
556,-4453.373014713732
557,-6679.606548692411
558,-5232.844614947718
559,-4724.973111342651
560,-5030.999649879316
561,-4629.141403613751
562,-4628.029028874953
563,-4837.05144498258
564,-4728.194311153325
565,-4838.080359986955
566,-5302.642462972953
567,-4690.5928605838235
568,-6252.997691933538
569,-4456.973361497255
570,-4876.516332451613
571,-4423.386666356343
572,-5182.549348716757
573,-4493.496440733795
574,-4463.664769430555
575,-4748.081050185592
576,-4536.7643264252065
577,-4690.473634736819
578,-5725.802120372879
579,-4897.927490515782
580,-5459.556076878128
581,-4546.987115878879
582,-4395.720527398271
583,-4636.4778996908135
584,-5528.034538716795
585,-4331.790730178345
586,-4481.964129137405
587,-5009.976313695694
588,-5423.2553746858775
589,-5730.7445451164585
590,-5400.772362477161
591,-4868.685767296833
592,-4929.151081517138
593,-4578.788978988263
594,-6260.139636394376
595,-5477.233743190226
596,-4297.066253779716
597,-4510.705710182478
598,-4593.2882163836075
599,-5326.56802325811
600,-4535.262276941473
601,-4610.46573818857
602,-5505.242766458055
603,-4665.5041990643085
604,-4758.176324375982
605,-4552.908643111242
606,-6956.473350101092
607,-6270.3214718748295
608,-5708.2121177657145
609,-4152.520758828565
610,-5347.3791419571935
611,-4964.538746085723
612,-4797.117120857479
613,-8392.400330258713
614,-6031.153632573773
615,-4709.672906065842
616,-4637.427187818131
617,-4466.21881171981
618,-4796.966302230452
619,-7032.942763015168
620,-4676.382555970026
621,-4580.484178110536
622,-5301.321465029439
623,-4383.821329232118
624,-4168.335720307209
625,-4364.225766050818
626,-5955.936090332225
627,-4869.038336927677
628,-4326.875377367777
629,-4326.174769070431
630,-4547.9319163629725
631,-4255.248121614008
632,-4673.225694329998
633,-4637.577431377105
634,-5309.336991769316
635,-4444.7525311038435
636,-5464.927640660745
637,-4311.905821487072
638,-4525.401354715669
639,-4825.150420208209
640,-5711.991643163252
641,-6000.4025894978695
642,-4607.960567873127
643,-4977.322328559114
644,-4739.045061644015
645,-4520.021926726773
646,-5737.243589689047
647,-4186.820771946128
648,-5139.066682338009
649,-4358.510442767911
650,-5060.5530580447185
651,-5995.825263810807
652,-4536.671110462772
653,-5982.876982437786
654,-4535.517524805794
655,-4781.500997744329
656,-4740.35193551098
657,-5018.071832879099
658,-4427.148208326461
659,-5118.876420934726
660,-4351.519701897015
661,-5111.99007317538
662,-4796.413539667196
663,-4726.268875161037
664,-5764.029925527281
665,-4648.480792660301
666,-4774.083731415322
667,-5184.555035992175
668,-4645.587667149867
669,-4573.323777875468
670,-5618.361259329316
671,-6184.085717008096
672,-7268.937640009831
673,-4760.927967994551
674,-4495.960430478398
675,-4516.2617196843075
676,-4720.197773737212
677,-4413.676200315609
678,-4288.981936487373
679,-4774.656363622605
680,-4460.144389085771
681,-7803.364685744819
682,-4610.135516836522
683,-6032.555238269067
684,-4518.432665197863
685,-4615.904438829768
686,-4549.026305503969
687,-4499.975178846507
688,-6220.054384654231
689,-5311.572829891191
690,-4822.217750582338
691,-4318.7756153323935
692,-4401.338366727425
693,-4486.662354158049
694,-4743.8735376230325
695,-5550.5264318964255
696,-4946.487910521897
697,-6384.5583419058985
698,-4933.963263907019
699,-5393.770373985631
700,-4636.306206243216
701,-6402.785373747305
702,-5141.841201776609
703,-4768.610308747523
704,-5807.4696409930275
705,-5573.8482419094225
706,-5417.592054491191
707,-4705.6443851171725
708,-4911.597212790266
709,-4332.623037063627
710,-4918.863296292938
711,-4480.101947097363
712,-6345.798805926514
713,-5840.52787426386
714,-4403.520425360057
715,-4448.1357099711695
716,-4597.133885106033
717,-4216.423215056957
718,-5206.7742790885295
719,-5559.310867749388
720,-5162.536105862436
721,-4947.022924754375
722,-5352.7194446575095
723,-7086.805118427316
724,-6374.341917156367
725,-5826.750648787337
726,-5671.057227699925
727,-4577.851202180135
728,-4639.500459500805
729,-5131.661293255301
730,-4776.170618196353
731,-4682.034155938901
732,-4366.1305620494
733,-7601.153793279573
734,-7466.236325812563
735,-8008.930839253158
736,-5910.922240484731
737,-4625.5664543885605
738,-6019.688464224946
739,-5945.995306562323
740,-4872.282525511299
741,-4757.2252942120185
742,-4485.43511597733
743,-4963.304176894614
744,-5412.060020819211
745,-5732.213895079527
746,-5474.924127591854
747,-4915.053174810314
748,-4466.6505070908825
749,-4680.806018324064
750,-4194.9136470068115
751,-4754.599464248932
752,-5210.551479713219
753,-4418.506838012548
754,-4848.0347526345195
755,-4664.154167286113
756,-7449.0606212005505
757,-4741.531524957404
758,-5019.864117773712
759,-5740.686402083901
760,-4640.251512903619
761,-4888.452260569257
762,-4510.960713989863
763,-4302.740455028247
764,-4435.838505445922
765,-6211.512620916051
766,-4629.119286052679
767,-5276.701180750837
768,-4647.471286183346
769,-4714.235572988503
770,-6558.429034303137
771,-4713.712929895284
772,-4896.674992011975
773,-5122.378323835935
774,-5935.317935152207
775,-5113.933498379322
776,-4717.2029698224615
777,-4541.771937887502
778,-5373.077211068584
779,-5525.943430680247
780,-5993.767481505838
781,-5748.855117664485
782,-6732.883277639513
783,-4772.766146170854
784,-5567.806386469747
785,-4556.298943738614
786,-7080.996628454247
787,-7086.841637878778
788,-6257.110894917182
789,-6444.038716869329
790,-4606.869532144405
791,-4610.188170882577
792,-4496.8126823023795
793,-6274.678769692171
794,-4649.0884862410385
795,-4613.43129204548
796,-4508.644156566694
797,-4673.17463003198
798,-5012.26309674909
799,-4565.989821987251
800,-5582.039156889632
801,-5090.039834216999
802,-4729.896865607292
803,-7268.178726819925
804,-4905.891679789644
805,-4848.251181766385
806,-4639.548864576736
807,-4817.062733584062
808,-5430.376952851137
809,-5327.678188625006
810,-4476.954363110531
811,-5527.473098319044
812,-5701.379515922102
813,-4501.170170277976
814,-4772.465975166292
815,-4760.470748729093
816,-4908.029748888091
817,-4712.798883666277
818,-5764.375127057914
819,-5511.863478652933
820,-4461.025567593454
821,-5560.819513377707
822,-7047.470123081545
823,-5333.960137141632
824,-4439.994952762531
825,-7136.520416733982
826,-5075.925937958563
827,-4891.520252722299
828,-5216.69980945859
829,-4833.972176104878
830,-5117.932086142177
831,-5280.692054001622
832,-4771.052146729547
833,-4949.580224044615
834,-5046.719617790056
835,-4683.299157155334
836,-4775.7207589418085
837,-5047.616864971173
838,-5739.310739154618
839,-5170.169488351993
840,-5889.917231897448
841,-4414.814693848757
842,-5798.226373089834
843,-4471.397387790604
844,-5463.53814862862
845,-4720.334848110243
846,-5158.5087401158935
847,-4652.933575774078
848,-4571.593832641281
849,-4748.582305398817
850,-4682.541429637068
851,-4674.876751347978
852,-5736.884254650824
853,-4950.833833315935
854,-4971.691537019107
855,-4402.855446963047
856,-4745.419016935854
857,-4246.389940670071
858,-4843.178602566743
859,-7284.749888113508
860,-4772.4336820458475
861,-5655.758682651883
862,-4744.8791758784955
863,-5831.596150099442
864,-4571.246826578239
865,-4943.002930722974
866,-4536.864040455478
867,-4875.7445236184385
868,-4408.87310446559
869,-5811.048845618552
870,-4830.097411520799
871,-4609.035955459695
872,-4789.459819702763
873,-4925.790552632437
874,-4952.166566793524
875,-4665.299705157052
876,-4831.432737742982
877,-4722.628216548536
878,-4616.217458622334
879,-4644.1539878267695
880,-5252.75346827372
881,-4730.902791738723
882,-4593.8125632542815
883,-4987.0379146996565
884,-5361.306626696877
885,-4496.730553886986
886,-5745.453699314726
887,-5873.463121923698
888,-6214.054604176956
889,-5628.173318328159
890,-4805.370001269634
891,-4637.349807892023
892,-4470.318580570405
893,-4648.9341964592295
894,-4636.522623679355
895,-5449.746333877317
896,-5388.66034849347
897,-4488.156676524595
898,-4712.576937717665
899,-4582.737217818421
900,-4530.957343381215
901,-5545.293609097321
902,-4402.411067892126
903,-5139.397330704094
904,-4772.704701586967
905,-4519.910014013825
906,-5127.435089197285
907,-4509.70009036127
908,-4870.726937695244
909,-4901.104163298051
910,-4196.649111097605
911,-7252.531914445455
912,-5274.9487436006775
913,-5229.666931692221
914,-5842.2308221913
915,-4386.597667385403
916,-4902.711784132879
917,-4903.636264489672
918,-5905.930608330955
919,-4896.113827610522
920,-4717.453261757347
921,-5049.105696847863
922,-4497.725030464474
923,-4709.351693053942
924,-4579.053061091184
925,-5506.996273110153
926,-4900.829436078883
927,-5009.033666366039
928,-4600.853786975991
929,-4473.512406274466
930,-8171.354690355819
931,-4661.01053423928
932,-4682.5038115552625
933,-5700.344102266109
934,-4798.027474546909
935,-4494.996626813703
936,-5378.873531995359
937,-4431.2503812994855
938,-4455.859840340384
939,-4921.245229782778
940,-4747.414352258362
941,-5238.887460453926
942,-4976.15009921276
943,-4551.136947246632
944,-4988.8484154566795
945,-5362.860642348357
946,-4659.316188615485
947,-4561.53885617994
948,-5082.945142192856
949,-4940.979540148197
950,-4478.903303377344
951,-4600.381262897108
952,-4732.467921299201
953,-4638.699155879688
954,-4496.046752197461
955,-4787.119734880116
956,-4620.993870331058
957,-6320.543358748952
958,-4608.200582877368
959,-4416.04060754188
960,-5021.38450857655
961,-5455.561136226138
962,-5331.189134852022
963,-4785.094410163384
964,-4856.392125671346
965,-4835.557696259711
966,-4732.978103126213
967,-5618.266443801253
968,-4658.662292265486
969,-4676.2160336335255
970,-4694.084240218086
971,-4844.154422792659
972,-4620.028244336224
973,-4670.344115931354
974,-4609.655077527003
975,-5653.757560498425
976,-6054.95368711609
977,-4997.162959229205
978,-4654.290659561615
979,-4772.278584838541
980,-4254.546896578811
981,-4471.576040694435
982,-4860.050985462767
983,-6126.65609459109
984,-4824.141512691734
985,-5257.64134927179
986,-4668.299212114163
987,-4836.234467030101
988,-5087.9776254733115
989,-5742.139599041371
990,-4901.747030687043
991,-4384.009243664936
992,-5658.657080274004
993,-4704.326366238705
994,-5173.0359294926775
995,-4870.7821400260855
996,-4642.818889040472
997,-4685.749117885112
998,-6263.463264582638
999,-4568.0665834006295
