,rewards
532,790.0
533,27.0
534,232.0
535,277.0
536,465.0
537,258.0
538,561.0
539,327.0
540,184.0
541,146.0
542,408.0
543,417.0
544,71.0
545,510.0
546,209.0
547,119.0
548,109.0
549,107.0
550,239.0
551,35.0
552,213.0
553,96.0
554,183.0
555,621.0
556,122.0
557,237.0
558,89.0
559,16.0
560,223.0
561,166.0
562,123.0
563,28.0
564,145.0
565,79.0
566,93.0
567,154.0
568,127.0
569,438.0
570,104.0
571,112.0
572,353.0
573,135.0
574,364.0
575,94.0
576,197.0
577,107.0
578,252.0
579,255.0
580,61.0
581,137.0
582,227.0
583,111.0
584,115.0
585,133.0
586,181.0
587,166.0
588,125.0
589,113.0
590,116.0
591,145.0
592,134.0
593,163.0
594,187.0
595,154.0
596,165.0
597,170.0
598,329.0
599,248.0
600,182.0
601,280.0
602,345.0
603,113.0
604,93.0
605,188.0
606,176.0
607,187.0
608,97.0
609,187.0
610,545.0
611,358.0
612,153.0
613,364.0
614,290.0
615,399.0
616,492.0
617,290.0
618,319.0
619,154.0
620,254.0
621,212.0
622,97.0
623,94.0
624,87.0
625,133.0
626,81.0
627,243.0
628,79.0
629,157.0
630,155.0
631,34.0
632,102.0
633,135.0
634,36.0
635,326.0
636,175.0
637,198.0
638,150.0
639,133.0
640,139.0
641,243.0
642,251.0
643,177.0
644,139.0
645,281.0
646,106.0
647,270.0
648,180.0
649,37.0
650,123.0
651,29.0
652,155.0
653,153.0
654,36.0
655,134.0
656,264.0
657,150.0
658,251.0
659,150.0
660,18.0
661,241.0
662,99.0
663,214.0
664,229.0
665,234.0
666,415.0
667,165.0
668,183.0
669,199.0
670,227.0
671,203.0
672,253.0
673,128.0
674,140.0
675,283.0
676,279.0
677,288.0
678,32.0
679,151.0
680,86.0
681,167.0
682,165.0
683,188.0
684,50.0
685,109.0
686,128.0
687,223.0
688,166.0
689,74.0
690,60.0
691,127.0
692,165.0
693,136.0
694,314.0
695,44.0
696,254.0
697,116.0
698,238.0
699,133.0
700,234.0
701,205.0
702,106.0
703,266.0
704,239.0
705,139.0
706,182.0
707,196.0
708,182.0
709,275.0
710,225.0
711,128.0
712,323.0
713,63.0
714,176.0
715,140.0
716,177.0
717,136.0
718,43.0
719,209.0
720,150.0
721,187.0
722,180.0
723,195.0
724,219.0
725,141.0
726,127.0
727,141.0
728,139.0
729,180.0
730,179.0
731,168.0
732,187.0
733,293.0
734,151.0
735,152.0
736,135.0
737,138.0
738,147.0
739,249.0
740,232.0
741,175.0
742,393.0
743,158.0
744,427.0
745,338.0
746,282.0
747,227.0
748,123.0
749,275.0
750,291.0
751,182.0
752,343.0
753,162.0
754,168.0
755,225.0
756,273.0
757,50.0
758,69.0
759,128.0
760,572.0
761,19.0
762,164.0
763,163.0
764,193.0
765,231.0
766,198.0
767,205.0
768,142.0
769,331.0
770,176.0
771,347.0
772,86.0
773,189.0
774,197.0
775,166.0
776,52.0
777,191.0
778,434.0
779,292.0
780,169.0
781,143.0
782,124.0
783,276.0
784,192.0
785,267.0
786,152.0
787,219.0
788,384.0
789,251.0
790,418.0
791,221.0
792,388.0
793,217.0
794,186.0
795,171.0
796,164.0
797,434.0
798,270.0
799,425.0
800,383.0
801,413.0
802,49.0
803,329.0
804,143.0
805,325.0
806,424.0
807,268.0
808,261.0
809,100.0
810,119.0
811,255.0
812,182.0
813,151.0
814,119.0
815,93.0
816,194.0
817,92.0
818,162.0
819,145.0
820,241.0
821,218.0
822,87.0
823,251.0
824,28.0
825,161.0
826,44.0
827,130.0
